player_id,height,position
200745,84,NA
200746,83,Center-Forward
200751,76,Guard
200752,80,Forward-Guard
200755,75,Guard
200757,78,Forward-Guard
200761,82,Forward
200765,73,Guard
200768,72,Guard
200769,75,NA
200770,74,NA
200777,82,Center-Forward
200779,82,NA
200782,77,Forward
200794,79,Forward
200797,84,NA
200811,81,Forward
200826,70,Guard
2199,84,Center
2200,84,Center-Forward
2202,78,Guard
2207,79,NA
2210,79,Forward
2216,81,Forward
2217,84,Center
2222,79,Forward
2223,83,NA
2225,74,Guard
202952,81,NA
202962,82,Center
2365,82,NA
203076,82,Forward-Center
203077,78,Forward
203078,76,Guard
203079,75,Guard
203080,82,Forward
203081,74,Guard
203082,78,Guard-Forward
203083,82,Center
203084,80,Forward
203085,76,Guard
203086,84,NA
203087,77,Guard-Forward
203088,76,Guard
203089,81,Forward-Center
203090,79,Forward-Guard
203092,83,Forward-Center
203093,81,NA
203094,81,Forward
203095,78,Guard-Forward
203096,81,NA
203098,76,Guard
203099,76,NA
203100,78,Guard
203101,83,Center
2399,81,Guard-Forward
203103,83,Forward
203105,83,Center
2400,82,Forward
2403,83,Center-Forward
203108,82,Center
2405,82,Forward-Center
2406,79,Forward
203110,78,Forward
203112,79,NA
203109,78,Forward
203114,79,Forward
203115,77,Guard
203118,79,Forward
203120,84,Center
203121,78,NA
203123,80,NA
203124,81,Center-Forward
2419,81,Forward
2422,78,NA
203128,82,Forward-Center
203133,81,Forward
2430,81,Forward
203135,84,Center
203136,84,Center
203138,80,NA
203141,81,NA
203142,81,NA
203143,75,Guard
2440,79,Forward
203145,76,Guard-Forward
203144,78,Guard
203148,73,Guard
2446,79,NA
2449,81,NA
203156,82,Center-Forward
2457,73,NA
203187,78,Forward
201142,82,Forward
201143,81,Center-Forward
201144,73,Guard
201145,80,Forward
201147,81,Guard-Forward
201148,82,NA
201149,83,Forward-Center
201150,85,Forward-Center
201152,80,Forward
203200,78,Forward-Guard
201155,77,NA
201156,79,NA
2501,80,Center-Forward
201158,77,Guard
201160,84,NA
201162,78,Forward
201163,80,Forward
201166,72,Guard
201167,77,Guard
201168,83,Center-Forward
201171,81,Forward
201175,81,Forward-Center
201177,82,NA
201188,83,Center
201196,75,Guard
2544,81,Forward
2546,79,Forward
2547,83,Forward
2548,76,Guard
2549,84,Center
2550,76,Guard
201202,81,Center
203254,NA,NA
2555,82,Forward-Center
2557,74,Guard
2561,81,Forward
2563,78,Guard-Forward
2564,80,Center-Forward
203268,75,Guard
2570,82,Center
2571,75,Guard
201228,74,Guard
201229,80,Forward
2581,75,Guard
2584,75,Guard
2585,83,Center
2588,82,Center-Forward
2590,73,Guard
2592,80,Guard-Forward
203296,NA,NA
2594,79,Guard-Forward
203315,77,NA
203318,78,NA
2617,80,Forward
203382,82,Center-Forward
2730,82,Center-Forward
2732,75,Guard
2733,79,Guard
2734,75,Guard
2736,81,Forward
2738,78,Guard-Forward
2742,72,NA
2743,81,Forward
2744,82,Center
2746,81,NA
2747,78,Guard
2748,81,Forward-Guard
2749,72,Guard
203457,83,Center-Forward
203458,84,Center
2754,76,NA
203460,79,NA
2757,75,Guard
203459,77,NA
203463,75,Guard
203461,80,NA
708,83,Forward
2760,83,NA
203462,77,Guard
203468,75,Guard
203469,83,Forward-Center
203471,73,Guard
203473,84,Center
203475,76,NA
2772,80,NA
203476,82,Center
203477,72,NA
203481,84,NA
203482,83,Forward-Center
203484,77,Guard
203485,77,NA
203486,83,Forward-Center
203487,77,Guard
203488,82,Forward-Center
203489,76,NA
203490,80,Forward
203492,75,NA
203493,78,Guard-Forward
203495,79,Guard
203496,79,Forward
203497,85,Center
203498,78,Guard-Forward
203499,71,Guard
203500,83,Center
203501,77,Guard-Forward
203503,78,Guard
203504,72,Guard
101106,84,Center
101107,80,Forward
203506,76,Guard
203507,83,Forward
101108,72,Guard
101111,83,Forward
101112,84,Forward-Center
203508,79,Guard-Forward
101114,75,Guard
203515,71,NA
203516,78,NA
101110,79,Forward-Guard
203511,82,Forward
203512,84,Center
203521,75,Guard
101122,81,Forward-Guard
101123,79,Guard-Forward
203524,78,NA
101126,69,NA
101127,75,Guard
203527,83,Forward
101128,79,NA
203530,83,Center
101131,79,Forward
101133,83,Center
101135,81,Forward-Center
101138,80,Forward
101139,78,NA
203539,75,NA
101141,81,Forward
203540,80,Forward
101142,82,NA
203544,83,Forward-Center
101145,75,Guard
203546,75,Guard
203545,84,NA
101150,74,Guard
101109,73,Guard
2853,84,Forward-Center
101161,81,Center-Forward
101162,83,NA
203561,82,NA
203564,73,Guard
203565,NA,NA
101179,74,Guard
203580,74,Guard
101181,75,Guard
101183,82,NA
203584,76,Guard
101187,78,Forward-Guard
201563,81,NA
201564,77,Guard
201565,74,Guard
201566,75,Guard
201567,80,Forward-Center
201568,82,Forward
201569,75,Guard
201571,71,Guard
201572,84,Center
201573,75,Guard
201574,83,Forward-Center
201575,78,Guard-Forward
201577,84,Center
201578,82,Forward-Center
201579,86,Center
201580,84,Center-Forward
201581,81,Center-Forward
201582,86,Center
201583,81,NA
201584,77,Guard
201585,84,Center
201586,82,Forward
201587,80,Guard-Forward
201588,76,Guard
201589,81,Forward
101236,78,NA
201593,83,Center
201595,NA,NA
201596,74,Guard
201599,83,Center
201600,84,Center
201601,80,Forward
101249,71,NA
201604,79,NA
201609,75,Guard
201611,78,Forward
201627,77,Guard
977,78,Forward-Guard
203798,78,Forward-Guard
203805,NA,NA
203893,72,NA
203894,72,Guard
203897,77,Guard-Forward
203898,75,Guard
203900,75,Guard
203901,75,Guard
203903,76,Guard
201858,79,Forward
203906,78,Forward
203909,78,Guard-Forward
203910,75,Guard
203912,77,Guard
203914,76,Guard
203915,78,Guard
203917,78,Guard
203918,80,Guard-Forward
203919,77,Guard
203921,80,Forward
203922,78,NA
203923,78,NA
203924,80,Forward
203925,78,Guard-Forward
203926,79,Forward
203928,81,NA
201880,83,Center
203932,80,Forward
203933,80,Forward
203935,76,Guard
203937,81,Forward-Guard
203939,82,Forward-Center
203940,82,NA
203943,82,NA
203944,80,Forward-Center
203945,84,NA
203946,81,Forward-Center
203948,81,NA
203949,81,NA
203950,81,NA
203952,79,Forward
203953,79,NA
203956,82,Forward
203957,77,Guard
203958,77,NA
203960,79,Forward
203961,82,Forward-Center
203963,83,Forward-Center
201933,81,Forward
201935,77,Guard
201936,78,NA
201937,74,Guard
201939,74,Guard
201941,82,Forward-Center
201942,78,Guard-Forward
201943,73,Guard
203991,82,Center
201945,77,Guard
201946,NA,NA
203994,83,Center
201948,83,Forward
201949,79,NA
201950,75,Guard
201951,71,Guard
201952,75,Guard
203998,81,NA
201954,72,NA
201956,81,NA
201959,81,Forward
201960,78,Forward
201961,76,Guard
201962,74,NA
201964,NA,NA
201965,81,Forward-Center
204014,82,Forward
201967,80,Forward
201971,79,NA
204020,75,NA
201973,82,Forward
201975,76,Guard
201976,73,Guard
201977,76,NA
201978,79,Forward
204025,72,NA
201980,78,Guard
201979,78,Guard
204028,81,Forward-Center
201985,74,NA
201988,72,Guard
204037,82,Forward
204038,73,NA
204054,77,Guard-Forward
204060,80,Forward-Guard
204079,81,NA
202066,77,Guard-Forward
202083,76,Guard
202087,78,NA
202130,78,NA
1495,83,Center-Forward
202235,NA,NA
2755,79,Guard
202322,75,Guard
202323,78,Guard-Forward
202324,81,Forward
202325,79,Forward-Guard
202326,82,Center
202327,82,Center-Forward
202328,82,Forward-Center
202329,80,Forward
202330,79,Forward
202332,83,Center
202333,78,NA
202334,81,Center-Forward
202335,80,Forward
202336,83,NA
202337,81,Forward
202338,82,Forward-Center
202339,73,Guard
202340,75,Guard
202343,77,NA
202344,80,Forward
202347,79,Forward
530027,NA,NA
202349,78,NA
202355,84,Center
202361,79,Guard-Forward
202362,77,Forward
202366,84,Center
202379,81,Forward
202388,75,Guard
202389,85,Center
202390,76,NA
202391,75,Guard
202397,72,Guard
202399,NA,NA
202407,79,Guard-Forward
1713,78,Guard-Forward
1717,84,Forward
1718,79,Forward
1737,82,Center
202498,80,Forward
1882,81,Forward
1889,75,Guard
1890,79,Guard-Forward
1891,74,Guard
1905,81,NA
1938,78,Guard
203106,NA,NA
202681,74,Guard
202682,80,NA
202683,82,NA
202684,81,Center-Forward
202685,83,Center
202687,80,Center
202688,74,NA
202689,72,Guard
202690,74,Guard
202691,78,Guard
202692,78,Guard
202693,81,Forward
202694,80,Forward
202695,79,Forward
202696,82,Center
202697,77,NA
202699,79,Forward
202700,84,Forward-Center
202702,80,Forward-Center
202703,82,Forward
202704,74,Guard
202706,79,Guard-Forward
202708,74,Guard
202709,75,Guard
202710,79,Forward
202711,79,Forward
202713,80,Forward
202714,75,Guard
202718,81,NA
202720,82,Forward
202721,76,Guard
202730,81,Forward-Center
202734,75,Guard
2030,81,NA
2034,80,Guard-Forward
202738,69,Guard
2037,77,Guard
2045,82,Forward
