Tm,win_pct,pts,margin,pace,ORtg,DRtg,eFG,TS,opp_eFG,opp_TS
LAC,0.683,8751,6.59,94.7,112.4,105.5,0.533,0.565,0.493,0.535
GSW,0.817,9016,10.1,98.3,111.6,101.4,0.54,0.571,0.47,0.514
CLE,0.646,8457,4.48,92.3,111.1,106.3,0.52,0.557,0.502,0.535
TOR,0.598,8527,3.07,92.8,111,107.7,0.508,0.553,0.506,0.542
DAL,0.61,8628,2.9,95.2,109.5,106.4,0.515,0.55,0.503,0.541
ATL,0.732,8409,5.43,93.9,108.9,103.1,0.527,0.563,0.492,0.528
SAS,0.671,8461,6.2,93.8,108.5,102,0.517,0.555,0.484,0.521
NOH,0.549,8147,0.79,91.4,108.2,107.3,0.501,0.537,0.496,0.533
POR,0.622,8429,4.23,94.2,108.2,103.7,0.508,0.544,0.476,0.513
OKC,0.549,8524,2.18,95.7,107.8,105.5,0.492,0.532,0.489,0.529
CHI,0.61,8265,3,92.8,107.5,104.3,0.489,0.536,0.473,0.51
HOU,0.683,8522,3.44,96.5,107,103.4,0.512,0.548,0.486,0.526
MEM,0.671,8062,3.24,92,105.7,102.2,0.489,0.531,0.492,0.526
DET,0.39,8077,-1,92.8,105.3,106.4,0.482,0.515,0.502,0.539
SAC,0.354,8310,-3.71,95.4,105.3,109.2,0.49,0.542,0.507,0.543
PHO,0.476,8397,-0.9,96.3,105.3,106.2,0.501,0.537,0.497,0.539
UTA,0.463,7801,0.22,90.4,105.1,104.9,0.494,0.531,0.491,0.529
BOS,0.488,8312,0.16,95.8,104.7,104.5,0.489,0.523,0.494,0.533
DEN,0.366,8320,-3.55,96.1,104.5,108.2,0.479,0.518,0.504,0.546
NJN,0.463,8038,-2.88,92.7,104.4,107.4,0.491,0.529,0.506,0.539
MIA,0.451,7764,-2.6,90.9,103.9,106.7,0.5,0.54,0.505,0.542
WAS,0.561,8080,0.72,93.7,103.7,103,0.499,0.534,0.481,0.521
IND,0.463,7981,0.28,93.2,103.5,103.2,0.484,0.523,0.478,0.521
LAL,0.256,8073,-6.84,94,103.4,110.6,0.473,0.513,0.518,0.557
MIN,0.195,8016,-8.79,94.4,102.9,112.2,0.468,0.517,0.537,0.569
MIL,0.5,8023,0.43,94.1,102.7,102.2,0.499,0.536,0.487,0.528
ORL,0.305,7847,-5.72,93.8,101.6,107.7,0.494,0.524,0.514,0.551
CHA,0.402,7721,-3.17,93,100.1,103.5,0.456,0.498,0.487,0.525
NYK,0.207,7535,-9.32,91.2,99.9,110,0.47,0.508,0.512,0.554
PHI,0.22,7542,-8.98,95.7,95.5,104.8,0.459,0.494,0.497,0.539
